a,b,c,receive_pell,receive_pell1,receive_pell2,receive_pell3,receive_pell4,receive_pell5,receive_pell6,receive_pell7,receive_pell8,receive_pell9,receive_pell10,receive_pell11,receive_pell12,receive_pell13,receive_pell14,receive_pell15,receive_pell16,receive_pell17,receive_pell18,receive_pell19,receive_pell20,receive_pell21,pell_avg,pell_avg1,pell_avg2,pell_avg3,pell_avg4,pell_avg5,pell_avg6,pell_avg7,pell_avg8,pell_avg9,pell_avg10,pell_avg11,pell_avg12,pell_avg13,pell_avg14,pell_avg15,pell_avg16,pell_avg17,pell_avg18,pell_avg19,pell_avg20,pell_avg21,pell_cost_1year,pell_cost_10year,receive_pell_baseline,receive_pell1_baseline,receive_pell2_baseline,receive_pell3_baseline,receive_pell4_baseline,receive_pell5_baseline,receive_pell6_baseline,receive_pell7_baseline,receive_pell8_baseline,receive_pell9_baseline,receive_pell10_baseline,receive_pell11_baseline,receive_pell12_baseline,receive_pell13_baseline,receive_pell14_baseline,receive_pell15_baseline,receive_pell16_baseline,receive_pell17_baseline,receive_pell18_baseline,receive_pell19_baseline,receive_pell20_baseline,receive_pell21_baseline,pell_avg_baseline,pell_avg1_baseline,pell_avg2_baseline,pell_avg3_baseline,pell_avg4_baseline,pell_avg5_baseline,pell_avg6_baseline,pell_avg7_baseline,pell_avg8_baseline,pell_avg9_baseline,pell_avg10_baseline,pell_avg11_baseline,pell_avg12_baseline,pell_avg13_baseline,pell_avg14_baseline,pell_avg15_baseline,pell_avg16_baseline,pell_avg17_baseline,pell_avg18_baseline,pell_avg19_baseline,pell_avg20_baseline,pell_avg21_baseline,pell_cost_1year_baseline,pell_cost_10year_baseline
4000,,,0.31150541,0.66094309,0.48342225,0.036881991,0.000132912,0.38469151,0.3702932,0.37119091,0.24529131,0.2205966,0.27169895,0.53170866,0.39418226,0.24121045,0.33358753,0.32334214,0.35668552,0.31849056,0.65590698,0.034764677,0.24294382,0.7115742,909.26971,2077.5823,1031.7009,38.45504,0.4468928,904.05927,1200.0121,1001.2795,626.75659,574.03015,616.37848,1276.6682,1084.3804,704.77344,994.2099,1056.83,854.91235,790.07043,1501.1981,102.15364,596.61572,1821.356,15.37380821,153.73808,0.33871576,0.72597778,0.50235343,0.075806431,0.000165891,0.35365444,0.4302415,0.41670337,0.29032573,0.25449148,0.29417476,0.48661682,0.44909757,0.2757884,0.42179957,0.41398939,0.35546252,0.30467397,0.66975439,0.038552489,0.26249588,0.68708944,1436.6479,3511.0552,1935.0986,160.59233,0.70924783,1260.4091,1619.3347,1593.4292,1151.957,961.72272,1105.3083,2054.8035,1628.3159,1253.1042,1709.3856,1645.6726,1498.5559,1251.8748,2391.8574,146.44576,1013.9286,2597.5559,28.640709,286.4071
4250,,,0.30695829,0.70611191,0.43243685,0.040345199,0.000138093,0.37670112,0.42571789,0.38373154,0.26171356,0.23937939,0.27727011,0.46966687,0.36212283,0.2645157,0.39713627,0.34676921,0.35854813,0.29216355,0.65087277,0.035089929,0.26240343,0.62926126,859.80243,2300.2947,1161.6696,49.55608,0.49074051,870.56683,1122.6261,1010.3987,768.33862,603.71405,760.99615,1467.0228,1210.8694,796.82501,1039.2723,1027.4196,995.6731,778.47235,1704.9388,102.98016,625.87689,2037.493,19.02834967,190.28349,0.33871576,0.72597778,0.50235343,0.075806431,0.000165891,0.35365444,0.4302415,0.41670337,0.29032573,0.25449148,0.29417476,0.48661682,0.44909757,0.2757884,0.42179957,0.41398939,0.35546252,0.30467397,0.66975439,0.038552489,0.26249588,0.68708944,1436.6479,3511.0552,1935.0986,160.59233,0.70924783,1260.4091,1619.3347,1593.4292,1151.957,961.72272,1105.3083,2054.8035,1628.3159,1253.1042,1709.3856,1645.6726,1498.5559,1251.8748,2391.8574,146.44576,1013.9286,2597.5559,28.640709,286.4071
4500,,,0.30328354,0.70943272,0.50001609,0.042576831,0.000126288,0.34907404,0.38859761,0.40676171,0.28649682,0.20823857,0.24861449,0.52780664,0.38079792,0.25338358,0.3919633,0.33147401,0.37529254,0.35225001,0.58061481,0.037925612,0.24243607,0.63944912,970.7644,2372.9861,1297.6324,62.11055,0.52102655,978.69733,1172.4546,1187.5283,871.03436,624.85034,757.62115,1355.408,1274.7295,805.25067,1140.9338,1166.9969,1072.5874,891.09979,1759.0635,112.12404,649.7085,2058.1162,19.04829442,190.48294,0.33871576,0.72597778,0.50235343,0.075806431,0.000165891,0.35365444,0.4302415,0.41670337,0.29032573,0.25449148,0.29417476,0.48661682,0.44909757,0.2757884,0.42179957,0.41398939,0.35546252,0.30467397,0.66975439,0.038552489,0.26249588,0.68708944,1436.6479,3511.0552,1935.0986,160.59233,0.70924783,1260.4091,1619.3347,1593.4292,1151.957,961.72272,1105.3083,2054.8035,1628.3159,1253.1042,1709.3856,1645.6726,1498.5559,1251.8748,2391.8574,146.44576,1013.9286,2597.5559,28.640709,286.4071
4750,,,0.36349085,0.74603987,0.48495704,0.048705988,0.00012822,0.33262628,0.43268377,0.39923635,0.28147587,0.21259646,0.2739369,0.47619843,0.404612,0.24357772,0.39849454,0.36146212,0.36522576,0.31606802,0.67048359,0.038181014,0.24970672,0.69836038,1076.0859,2603.3555,1302.6619,71.053589,0.62107754,1075.3859,1252.4535,1281.0308,908.948,715.45508,813.771,1388.9866,1396.7473,827.61053,1280.2231,1325.1416,1043.5541,907.32898,2100.3494,125.11226,819.79041,2078.5498,21.77126982,217.71269,0.33871576,0.72597778,0.50235343,0.075806431,0.000165891,0.35365444,0.4302415,0.41670337,0.29032573,0.25449148,0.29417476,0.48661682,0.44909757,0.2757884,0.42179957,0.41398939,0.35546252,0.30467397,0.66975439,0.038552489,0.26249588,0.68708944,1436.6479,3511.0552,1935.0986,160.59233,0.70924783,1260.4091,1619.3347,1593.4292,1151.957,961.72272,1105.3083,2054.8035,1628.3159,1253.1042,1709.3856,1645.6726,1498.5559,1251.8748,2391.8574,146.44576,1013.9286,2597.5559,28.640709,286.4071
5000,,,0.33155066,0.70202208,0.49967548,0.058107335,0.000124823,0.33457297,0.4503966,0.38996789,0.25932798,0.23612005,0.27606109,0.49658987,0.42643985,0.25784037,0.37970185,0.3877078,0.35919064,0.34374434,0.62923902,0.04122499,0.28195444,0.70584393,1175.3595,2997.303,1439.999,80.975197,0.58346146,1073.2897,1486.5892,1325.4874,952.13074,678.75739,852.66565,1564.4535,1499.3661,955.81689,1207.4397,1257.6943,1321.7858,978.02014,2011.7886,128.86176,760.02539,2090.3701,19.49406197,194.94061,0.33871576,0.72597778,0.50235343,0.075806431,0.000165891,0.35365444,0.4302415,0.41670337,0.29032573,0.25449148,0.29417476,0.48661682,0.44909757,0.2757884,0.42179957,0.41398939,0.35546252,0.30467397,0.66975439,0.038552489,0.26249588,0.68708944,1436.6479,3511.0552,1935.0986,160.59233,0.70924783,1260.4091,1619.3347,1593.4292,1151.957,961.72272,1105.3083,2054.8035,1628.3159,1253.1042,1709.3856,1645.6726,1498.5559,1251.8748,2391.8574,146.44576,1013.9286,2597.5559,28.640709,286.4071
5250,,,0.31473571,0.66795504,0.55410463,0.063131988,0.000133657,0.33730513,0.38682833,0.39243698,0.28232071,0.23354235,0.29223633,0.54283392,0.44991472,0.27527463,0.35685161,0.41245931,0.36576802,0.31763881,0.67715377,0.037293877,0.28734824,0.65752673,1261.2694,3022.4644,1578.2996,93.42318,0.61198032,1140.2415,1343.595,1454.6888,1032.084,711.25037,999.57886,1860.0529,1396.0143,1012.6863,1205.9545,1409.8087,1368.1521,966.56,2246.6904,124.20935,792.02716,2346.4565,21.11078753,211.10788,0.33871576,0.72597778,0.50235343,0.075806431,0.000165891,0.35365444,0.4302415,0.41670337,0.29032573,0.25449148,0.29417476,0.48661682,0.44909757,0.2757884,0.42179957,0.41398939,0.35546252,0.30467397,0.66975439,0.038552489,0.26249588,0.68708944,1436.6479,3511.0552,1935.0986,160.59233,0.70924783,1260.4091,1619.3347,1593.4292,1151.957,961.72272,1105.3083,2054.8035,1628.3159,1253.1042,1709.3856,1645.6726,1498.5559,1251.8748,2391.8574,146.44576,1013.9286,2597.5559,28.640709,286.4071
5500,,,0.33380169,0.74855459,0.5065673,0.062216051,0.000125048,0.38590652,0.41729271,0.39169812,0.25701201,0.25412875,0.30285263,0.46168667,0.37411088,0.23952173,0.38142034,0.34199011,0.36870852,0.32475337,0.67579615,0.037440002,0.25069144,0.69201338,1131.3456,3270.5146,1791.3129,120.84465,0.66944361,1203.0283,1423.7732,1333.1434,1064.2552,878.85126,1011.1263,1681.0637,1433.9084,971.28064,1323.7374,1598.2048,1343.0051,1079.4113,2361.9089,139.13795,865.15039,2681.0215,24.74010749,247.40108,0.33871576,0.72597778,0.50235343,0.075806431,0.000165891,0.35365444,0.4302415,0.41670337,0.29032573,0.25449148,0.29417476,0.48661682,0.44909757,0.2757884,0.42179957,0.41398939,0.35546252,0.30467397,0.66975439,0.038552489,0.26249588,0.68708944,1436.6479,3511.0552,1935.0986,160.59233,0.70924783,1260.4091,1619.3347,1593.4292,1151.957,961.72272,1105.3083,2054.8035,1628.3159,1253.1042,1709.3856,1645.6726,1498.5559,1251.8748,2391.8574,146.44576,1013.9286,2597.5559,28.640709,286.4071
5750,,,0.35080758,0.65915126,0.57698351,0.065145545,0.000118307,0.33380648,0.45061314,0.41882744,0.27963668,0.24336539,0.30646437,0.54281348,0.44530728,0.26020053,0.41814929,0.41770214,0.39786464,0.32746887,0.70009643,0.038705636,0.2758328,0.65131879,1399.9298,3099.1743,1782.6218,119.55546,0.69812328,1236.0759,1699.431,1443.5409,1087.3298,884.82227,1064.0994,1884.1825,1577.8938,1106.1581,1576.0612,1652.6008,1492.5742,1084.6346,2496.5942,149.83235,994.7298,2623.6497,25.81220867,258.1221,0.33871576,0.72597778,0.50235343,0.075806431,0.000165891,0.35365444,0.4302415,0.41670337,0.29032573,0.25449148,0.29417476,0.48661682,0.44909757,0.2757884,0.42179957,0.41398939,0.35546252,0.30467397,0.66975439,0.038552489,0.26249588,0.68708944,1436.6479,3511.0552,1935.0986,160.59233,0.70924783,1260.4091,1619.3347,1593.4292,1151.957,961.72272,1105.3083,2054.8035,1628.3159,1253.1042,1709.3856,1645.6726,1498.5559,1251.8748,2391.8574,146.44576,1013.9286,2597.5559,28.640709,286.4071
6000,,,0.3749941,0.76800323,0.49276167,0.064279586,0.000138219,0.40149477,0.45480722,0.43388557,0.28972757,0.24872486,0.30920303,0.47500241,0.39857981,0.28167701,0.3912608,0.40691262,0.3400377,0.35775462,0.63785255,0.035783913,0.28404588,0.7315287,1326.5906,3108.2747,2006.2216,133.94099,0.76051307,1442.6447,1802.5321,1601.7091,1090.8281,951.89746,994.76483,1882.1368,1628.1467,1220.9254,1488.5287,1598.9358,1649.238,1059.4631,2652.1519,156.78186,1050.9541,2875.7119,24.73547632,247.35477,0.33871576,0.72597778,0.50235343,0.075806431,0.000165891,0.35365444,0.4302415,0.41670337,0.29032573,0.25449148,0.29417476,0.48661682,0.44909757,0.2757884,0.42179957,0.41398939,0.35546252,0.30467397,0.66975439,0.038552489,0.26249588,0.68708944,1436.6479,3511.0552,1935.0986,160.59233,0.70924783,1260.4091,1619.3347,1593.4292,1151.957,961.72272,1105.3083,2054.8035,1628.3159,1253.1042,1709.3856,1645.6726,1498.5559,1251.8748,2391.8574,146.44576,1013.9286,2597.5559,28.640709,286.4071
6250,,,0.33058953,0.69248581,0.54897755,0.083961129,0.000197669,0.34514448,0.43781427,0.42832887,0.2936115,0.25806567,0.2915678,0.50983983,0.43579367,0.24279787,0.39949811,0.41160747,0.39261431,0.3207444,0.67424774,0.038185474,0.29628962,0.61994892,1357.3252,3497.5796,2089.144,167.62421,0.87171811,1404.7646,1702.5085,1724.3335,1071.8627,1052.6742,1190.7552,2205.0044,1713.6566,1170.7216,1702.1691,1592.5371,1430.2345,1200.2828,2544.7227,150.88805,1027.4889,2611.4822,26.88144534,268.81445,0.33871576,0.72597778,0.50235343,0.075806431,0.000165891,0.35365444,0.4302415,0.41670337,0.29032573,0.25449148,0.29417476,0.48661682,0.44909757,0.2757884,0.42179957,0.41398939,0.35546252,0.30467397,0.66975439,0.038552489,0.26249588,0.68708944,1436.6479,3511.0552,1935.0986,160.59233,0.70924783,1260.4091,1619.3347,1593.4292,1151.957,961.72272,1105.3083,2054.8035,1628.3159,1253.1042,1709.3856,1645.6726,1498.5559,1251.8748,2391.8574,146.44576,1013.9286,2597.5559,28.640709,286.4071
